FECHA,AÑO,Doctorando,TITULO_TESIS,APELLIDO1,APELLIDO2,NOMBRE
10-09-2012,2012,"OLIVARES ROMERO, JESUS",UTILIDAD DIAGNOSTICA Y PRONOSTICA DE LA ULTRASONOGRAFIA TRANSCRANEAL EN EL PARKINSONISMO RELACIONADO CON EL CONSUMO DE FARMACOS. ESTUDIO PROSPECTIVO,GIL,EXTREMERA,BLAS
10-09-2012,2012,"TINOCO FERNANDEZ, MARIA",INFLUENCIA DEL MÉTODO DE PILATES SOBRE LA CONDICIÓN FÍSICA-SALUD EN SUJETOS JÓVENES SANOS,VILLAVERDE,GUTIÉRREZ,MARÍA CARMEN
10-09-2012,2012,"QUINTEROS, MARIA MAGDALENA","ARTE DE LA ETNIA GUARANI MBYA CONTEMPORÁNEA DE LA PROVINCIA DE MISIONES, ARGENTINA",OSAKAR,OLAIZ,PEDRO
10-09-2012,2012,"OLIVARES ROMERO, JESUS",UTILIDAD DIAGNOSTICA Y PRONOSTICA DE LA ULTRASONOGRAFIA TRANSCRANEAL EN EL PARKINSONISMO RELACIONADO CON EL CONSUMO DE FARMACOS. ESTUDIO PROSPECTIVO,BARRERO,HERNÁNDEZ,FRANCISCO JAVIER
10-09-2012,2012,"TINOCO FERNANDEZ, MARIA",INFLUENCIA DEL MÉTODO DE PILATES SOBRE LA CONDICIÓN FÍSICA-SALUD EN SUJETOS JÓVENES SANOS,RAMÍREZ,RODRIGO,JESÚS MARÍA
10-09-2012,2012,"TINOCO FERNANDEZ, MARIA",INFLUENCIA DEL MÉTODO DE PILATES SOBRE LA CONDICIÓN FÍSICA-SALUD EN SUJETOS JÓVENES SANOS,JIMÉNEZ,MARTÍN,MIGUEL
11-09-2012,2012,"FIGUEROA MARTINEZ, JOSE",INTEGRACIÓN DE LOS REQUERIMIENTOS DE CONCIENCIA SITUACIONAL Y GRUPAL AL DESARROLLO DE SISTEMAS COLABORATIVOS Y DINÁMICOS USANDO UN ENFOQUE BASADO EN MODELOS,GUTIÉRREZ,VELA,FRANCISCO LUIS
12-09-2012,2012,"SANCHEZ-MONTESINOS GARCIA, FCO. JOSE",CAPACIDAD DE ABSORCIÓN Y CRM EN EMPRESAS DE MEDIOS DE COMUNICACIÓN DE PRENSA ESCRITA.,BUSTINZA,SÁNCHEZ,ÓSCAR FERNANDO
12-09-2012,2012,"SANCHEZ-MONTESINOS GARCIA, FCO. JOSE",CAPACIDAD DE ABSORCIÓN Y CRM EN EMPRESAS DE MEDIOS DE COMUNICACIÓN DE PRENSA ESCRITA.,ARIAS,ARANDA,DANIEL
13-09-2012,2012,"TORRECILLAS LOPEZ, SEGISMUNDO",LOS ÓRGANOS SOCIALES DE LA SOCIEDAD ANÓNIMA DEPORTIVA,PÉREZ-SERRABONA,GONZÁLEZ,JOSÉ LUIS
13-09-2012,2012,"IBRAHIM, AMER",METODOLOGIA DE DESARROLLO DE VIDEOJUEGOS EDUCATIVOS CENTRADA EN EL JUGADOR,PADEREWSKI,RODRÍGUEZ,PATRICIA
