CODIGO,CURSO,TITULO,TASA RENDIMIENTO,TASA EXITO,TASA ABANDONO INICIAL,TASA EFICIENCIA,TASA GRADUACION,TASA ABANDONO
260,2015,GRADUADO/A EN BELLAS ARTES,"86,53","95,85","12,29","98,47","42,79","27,93"
261,2011,GRADUADO/A EN BIOQUÍMICA,"69,68","75,69",,,,
261,2012,GRADUADO/A EN BIOQUÍMICA,"86,33","90,24",,,,
261,2013,GRADUADO/A EN BIOQUÍMICA,"90,83","92,91","14,29",,,
261,2014,GRADUADO/A EN BIOQUÍMICA,"94,69","96,11","13,89","97,1",,
261,2015,GRADUADO/A EN BIOQUÍMICA,"93,29","95,48",16,"99,06","60,71","26,79"
263,2011,GRADUADO/A EN FILOSOFÍA,"54,1","77,07",,,,
263,2012,GRADUADO/A EN FILOSOFÍA,"54,93","79,98",,,,
263,2013,GRADUADO/A EN FILOSOFÍA,"69,79","84,43","33,33",,,
263,2014,GRADUADO/A EN FILOSOFÍA,"67,25","84,59","52,63","95,07",,
263,2015,GRADUADO/A EN FILOSOFÍA,"70,6","86,1","25,71","96,39","24,24","51,52"
264,2011,GRADUADO/A EN PSICOLOGÍA,"84,89","90,98",,,,
264,2012,GRADUADO/A EN PSICOLOGÍA,"81,9","88,76",,,,
264,2013,GRADUADO/A EN PSICOLOGÍA,"83,2","88,43","6,64",,,
264,2014,GRADUADO/A EN PSICOLOGÍA,"85,43","90,86","6,9","97,78",,
264,2015,GRADUADO/A EN PSICOLOGÍA,"86,53","91,14","8,9","98,2","55,59","19,23"
265,2011,GRADUADO/A EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURAL,"83,03","91,75",,,,
265,2012,GRADUADO/A EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURAL,"84,54","93,57",,,,
265,2013,GRADUADO/A EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURAL,"87,76","94,28","13,21",,,
265,2014,GRADUADO/A EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURAL,"91,17","95,71","22,45","98,28",,
265,2015,GRADUADO/A EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURAL,"86,52","93,88",16,"99,5","35,85","32,08"
266,2014,GRADUADO/A EN ARQUEOLOGÍA,"75,36","88,44",,,,
266,2015,GRADUADO/A EN ARQUEOLOGÍA,"73,43","84,5",,,,
267,2011,GRADUADO/A EN FÍSICA,"51,42","71,39",,,,
267,2012,GRADUADO/A EN FÍSICA,"49,06","69,54",,,,
267,2013,GRADUADO/A EN FÍSICA,"56,63","74,73","26,25",,,
267,2014,GRADUADO/A EN FÍSICA,"62,18","77,55","36,26","98,51",,
267,2015,GRADUADO/A EN FÍSICA,"57,74","75,09","34,02","98,66","28,75","48,75"
268,2011,GRADUADO/A EN GEOLOGÍA,"39,81","58,49",,,,
268,2012,GRADUADO/A EN GEOLOGÍA,"53,42","66,83",,,,
268,2013,GRADUADO/A EN GEOLOGÍA,"53,08","65,31","38,24",,,
268,2014,GRADUADO/A EN GEOLOGÍA,"60,67","71,78","37,7","96,67",,
268,2015,GRADUADO/A EN GEOLOGÍA,"60,47","70,34","36,23",100,"23,53","51,47"
270,2011,GRADUADO/A EN MATEMÁTICAS,"43,59","55,24",,,,
270,2012,GRADUADO/A EN MATEMÁTICAS,"57,49","70,75",,,,
270,2013,GRADUADO/A EN MATEMÁTICAS,"64,39","76,24","33,33",,,
270,2014,GRADUADO/A EN MATEMÁTICAS,"66,26","75,25","35,35","98,12",,
270,2015,GRADUADO/A EN MATEMÁTICAS,"63,9","75,83","33,33","97,74","25,44","49,12"
273,2011,GRADUADO/A EN LENGUAS MODERNAS Y SUS LITERATURAS,"70,33","83,79",,,,
