CODIGO,CURSO,TITULO,TASA ABANDONO
407,2012,GRADUADO/A EN ENFERMERÍA (CEUTA),
407,2013,GRADUADO/A EN ENFERMERÍA (CEUTA),
407,2014,GRADUADO/A EN ENFERMERÍA (CEUTA),
407,2015,GRADUADO/A EN ENFERMERÍA (CEUTA),"39,26"
414,2012,GRADUADO/A EN EDUCACIÓN SOCIAL (CEUTA),
414,2013,GRADUADO/A EN EDUCACIÓN SOCIAL (CEUTA),
414,2014,GRADUADO/A EN EDUCACIÓN SOCIAL (CEUTA),
414,2015,GRADUADO/A EN EDUCACIÓN SOCIAL (CEUTA),
433,2011,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (CEUTA),
433,2012,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (CEUTA),
433,2013,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (CEUTA),
433,2014,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (CEUTA),
433,2015,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (CEUTA),"52,78"
457,2011,GRADUADO/A EN EDUCACIÓN PRIMARIA (CEUTA),
457,2012,GRADUADO/A EN EDUCACIÓN PRIMARIA (CEUTA),
457,2013,GRADUADO/A EN EDUCACIÓN PRIMARIA (CEUTA),
457,2014,GRADUADO/A EN EDUCACIÓN PRIMARIA (CEUTA),
457,2015,GRADUADO/A EN EDUCACIÓN PRIMARIA (CEUTA),"45,54"
458,2011,GRADUADO/A EN EDUCACIÓN INFANTIL (CEUTA),
458,2012,GRADUADO/A EN EDUCACIÓN INFANTIL (CEUTA),
458,2013,GRADUADO/A EN EDUCACIÓN INFANTIL (CEUTA),
458,2014,GRADUADO/A EN EDUCACIÓN INFANTIL (CEUTA),
458,2015,GRADUADO/A EN EDUCACIÓN INFANTIL (CEUTA),"45,28"
496,2011,GRADUADO/A EN INGENIERÍA INFORMÁTICA (CEUTA),
