World Rank,University,Total Score,11 Years Articles,Current Articles,11 Years Citations,Current Citations,Ave. Citations,H-Index,HiCi Papers,Hi-Impact Journal Articles
231,Darmstadt University of Technology,48.4,50.3,50.0,48.2,50.5,47.3,55.7,44.7,43.6
231,École Normale Supérieure,48.4,44.9,44.0,49.8,44.4,58.8,45.4,53.9,45.9
231,University of Geneva,48.4,44.9,45.1,46.8,50.5,51.9,58.4,48.4,45.2
234,Boston College,48.3,38.9,40.1,49.5,41.5,100.0,35.0,46.6,42.5
234,Tokyo Institute of Technology,48.3,55.9,50.1,48.4,46.4,44.3,45.8,47.5,47.5
234,Kyoto University,48.3,57.1,53.4,48.7,45.2,44.1,45.6,46.6,45.2
237,Radboud University Nijmegen,48.2,47.7,46.6,47.8,49.8,49.3,58.4,45.6,44.8
237,University of Vermont,48.2,41.9,43.5,45.9,49.4,58.4,48.5,53.0,46.7
237,"University of California, Riverside",48.2,48.6,47.3,50.3,45.8,52.2,42.8,50.2,47.1
237,University of Chile,48.2,48.0,48.6,45.9,48.5,45.7,55.4,46.6,48.2
237,Johannes Kepler University of Linz,48.2,46.7,48.1,46.1,50.0,47.4,55.6,45.6,48.6
237,Ruprecht Karl University of Heidelberg,48.2,45.1,45.2,47.6,49.4,53.3,55.5,46.6,46.3
243,Hanyang University,48.1,51.8,54.5,45.9,49.2,43.3,52.2,44.7,44.8
244,University of Salerno,48.0,48.8,50.8,46.1,51.2,45.4,55.7,45.6,43.6
244,Complutense University of Madrid,48.0,51.5,53.1,47.5,46.0,45.5,45.8,43.8,49.8
244,Paul Sabatier University- Toulouse 3,48.0,49.6,49.8,48.0,47.4,47.7,46.0,46.6,48.6
244,Graz University of Technology,48.0,48.0,46.5,50.0,45.1,52.6,45.6,48.4,47.8
244,University of Calgary,48.0,54.1,48.9,50.1,46.0,46.8,45.8,45.6,46.7
244,Florida State University,48.0,46.5,44.1,50.6,44.5,56.4,47.9,48.4,46.7
250,University of Leeds,47.9,47.9,45.7,48.8,45.8,50.8,45.7,53.9,44.0
250,Durham University,47.9,44.3,44.5,45.9,51.5,50.7,52.4,48.4,48.2
250,Weizmann Institute of Science,47.9,46.5,46.4,49.8,42.8,54.9,41.8,48.4,50.9
253,"University of London, Queen Mary College",47.8,46.6,48.0,47.0,45.8,49.2,45.7,46.6,52.4
253,University of Milan,47.8,50.7,48.0,49.5,46.6,48.7,48.2,44.7,46.7
253,Lund University,47.8,47.6,47.7,48.3,47.6,50.4,48.3,46.6,47.1
253,Pohang University of Science and Technology,47.8,51.3,46.5,49.4,45.0,48.1,45.5,48.4,47.5
253,The University of Warwick,47.8,48.6,49.9,46.3,47.8,45.8,48.4,46.6,49.0
253,University of Glasgow,47.8,47.3,44.5,49.9,44.5,53.6,47.9,51.1,44.4
253,University of Oviedo,47.8,46.7,50.2,46.1,48.6,47.5,46.3,45.6,50.9
253,"University of Massachusetts, Amherst",47.8,50.2,49.9,49.3,45.0,48.8,45.5,45.6,47.8
261,University of New Orleans,47.7,39.7,40.8,45.8,44.8,81.3,54.8,42.9,41.3
261,Cardiff University,47.7,46.6,45.8,45.8,48.1,47.0,55.4,47.5,47.5
261,University of Zaragoza,47.7,48.9,47.8,47.6,47.1,47.7,48.3,44.7,50.1
261,Carleton University,47.7,51.3,48.8,48.0,45.9,46.2,48.1,46.6,46.7
261,University of Science and Technology Beijing,47.7,43.8,51.5,42.6,48.9,42.5,52.1,47.5,51.3
261,Istanbul Technical University,47.7,46.8,47.3,47.2,48.4,49.3,55.4,47.5,42.9
267,Feng Chia University,47.6,49.6,49.5,48.5,46.4,48.3,48.2,45.6,45.2
267,University of Oslo,47.6,47.2,48.6,47.7,44.4,49.8,42.4,50.2,48.6
267,University of Bergen,47.6,48.5,46.8,48.3,47.7,49.2,48.3,48.4,44.4
267,Queensland University of Technology,47.6,48.2,48.1,49.5,48.1,51.5,46.2,44.7,45.9
267,Autonomous University of Barcelona,47.6,47.8,49.4,46.6,46.4,47.1,45.9,45.6,50.9
267,Pompeu Fabra University,47.6,46.8,46.6,47.6,47.5,50.3,48.3,46.6,48.2
273,Czech Technical University,47.5,49.2,48.7,47.7,46.4,47.6,45.8,48.4,45.9
273,University of Manitoba,47.5,44.4,44.4,45.5,48.2,49.6,55.4,48.4,46.7
273,"University of California, Santa Cruz",47.5,45.5,43.3,50.1,44.9,58.0,42.6,53.9,42.1
273,Wayne State University,47.5,46.8,46.2,47.6,45.5,50.3,48.1,49.3,46.3
277,Oregon Health & Science University,47.4,41.3,42.0,45.5,45.2,60.3,48.0,44.7,53.6
277,George Mason University,47.4,49.6,45.5,50.1,44.7,50.6,42.5,45.6,50.1
277,National Chung Cheng University,47.4,49.9,48.8,48.2,45.4,47.7,48.0,45.6,46.3
277,University of Calabria,47.4,47.1,48.2,45.9,47.4,46.5,48.3,43.8,52.1
277,The University of Western Australia,47.4,44.7,45.1,46.6,47.0,51.5,51.9,45.6,48.6
277,East China University of Science and Technology,47.4,44.9,48.0,44.5,50.3,46.1,55.6,45.6,46.7
277,"University of Missouri, Columbia",47.4,43.8,43.6,45.4,47.6,50.5,55.3,46.6,49.0
