Posicion,Nombre,Rama,Disciplina,Especialidad,Citas,Indice h,Citas (ultimos 5 años),Indice h (ultimos 5 años),Perfil
891,Andres Maria Roldan Aranda,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,Electronica y Tecnologi­a de Computadores,91,4,77,4,https://scholar.google.com/citations?user=b35Ro0EAAAAJ&hl=es
892,Rosa Ana Montes Soldado,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,Lenguajes y Sistemas Informaticos,91,6,89,6,https://scholar.google.com/citations?user=VcgFsH8AAAAJ&hl=es
893,Rafael Ramirez Ucles,Ciencias Sociales y Juri­dicas,Ciencias de la Educacion,Didactica de la Matematica,91,5,55,5,https://scholar.google.com/citations?user=WWxiY7oAAAAJ&hl=es
894,Elena Molis Bañales,Ciencias Sociales y Juri­dicas,Ciencias Economicas y Empresariales,Teori­a e Historia Economica,91,4,78,4,https://scholar.google.com/citations?user=ZkIs9YoAAAAJ&hl=es
895,Antonio Manuel Peña Garcia,Ingenieri­a y Tecnologi­a,"Ingenieri­a de Caminos, Canales y Puertos",Ingenieri­a Civil,90,6,85,6,https://scholar.google.com/citations?user=CrXR3dEAAAAJ&hl=es
896,Alberto Ruiz Villaverde,Ciencias Sociales y Juri­dicas,Ciencias Economicas y Empresariales,Economi­a Aplicada,90,3,84,3,https://scholar.google.com/citations?user=S7DWsYcAAAAJ&hl=es
897,Vera Ferron Vilchez,Ciencias Sociales y Juri­dicas,Ciencias Economicas y Empresariales,Organizacion de Empresas,89,5,83,5,https://scholar.google.com/citations?user=ndJFAqUAAAAJ&hl=es
898,Pom Charras,Ciencias de la Salud,Psicologi­a - Salud,Psicologi­a Experimental,89,7,83,7,https://scholar.google.com/citations?user=xNNGZFkAAAAJ&hl=es
899,M Asuncion Romero Lopez,Ciencias Sociales y Juri­dicas,Ciencias de la Educacion,Didactica y Organizacion Escolar,88,5,70,4,https://scholar.google.com/citations?user=3UAS2ZoAAAAJ&hl=es
900,Antonio Moreno Verdejo,Ciencias Sociales y Juri­dicas,Ciencias de la Educacion,Didactica de la Matematica,88,5,33,3,https://scholar.google.com/citations?user=h7vlM04AAAAJ&hl=es
901,Alberto Garcia Porras,Ciencias Humanas y Artes,Filosofi­a y Letras,Historia Medieval y Ciencias y Ti©cnicas Historiograficas,86,5,40,4,https://scholar.google.com/citations?user=oamaU5IAAAAJ&hl=es
902,Eva Alarcon Garci­a,Ciencias Humanas y Artes,Filosofi­a y Letras,Prehistoria y Arqueologi­a,85,7,65,5,https://scholar.google.com/citations?user=lelwGZoAAAAJ&hl=es
903,Roberto Montero Granados,Ciencias Sociales y Juri­dicas,Ciencias Economicas y Empresariales,Economi­a Aplicada,85,5,48,4,https://scholar.google.com/citations?user=zN7y7-MAAAAJ&hl=es
904,Juan Manuel Ayllon Millan,Ciencias Sociales y Juri­dicas,Comunicacion y Documentacion,Informacion y Comunicacion,84,6,84,6,https://scholar.google.com/citations?user=iy8GqLsAAAAJ&hl=es
905,Laura Alcaide Muñoz,Ciencias Sociales y Juri­dicas,Ciencias Economicas y Empresariales,Economi­a Financiera y Contabilidad,84,5,84,5,https://scholar.google.com/citations?user=K5ncYYMAAAAJ&hl=es
